transaction_id,timestamp,account_id,merchant,category,amount,country,channel
T002600,2025-01-20 07:53:00,A0048,Starbucks,Food,257.43,US,in_store
T004813,2025-05-19 15:56:00,A0126,Target,Retail,316.77,US,in_store
T001470,2025-03-20 18:40:00,A0135,Shell,Fuel,92.6,US,mobile
T001713,2025-01-19 13:38:00,A0089,BestBuy,Electronics,246.91,US,mobile
T005014,2025-04-14 02:00:00,A0115,Apple,Electronics,10000,US,online
T001463,2025-03-02 07:43:00,A0197,Netflix,Subscription,174.72,US,online
T002095,2025-03-08 13:12:00,A0048,Shell,Fuel,143.72,US,online
T000681,2025-01-18 10:24:00,A0117,Apple,Electronics,57.22,US,in_store
T003903,2025-01-03 14:01:00,A0098,Marriott,Travel,21.92,US,atm
T003755,2025-01-15 15:37:00,A0127,Uber,Travel,150.99,US,mobile
T003441,2025-05-07 09:34:00,A0195,Walmart,Retail,68.23,US,online
T004892,2025-02-12 20:39:00,A0173,Costco,Retail,224.42,US,online
T001733,2025-02-25 19:01:00,A0068,Netflix,Subscription,291.69,US,mobile
T001033,2025-03-24 20:20:00,A0140,Marriott,Travel,320.95,US,atm
T002725,2025-01-08 20:46:00,A0038,Walmart,Retail,389.81,US,online
T003552,2025-05-16 16:55:00,A0166,Amazon,Retail,45.67,US,atm
T003971,2025-01-19 10:09:00,A0063,Uber,Travel,177.75,US,mobile
T003549,2025-02-07 19:55:00,A0179,BestBuy,Electronics,272.93,DE,online
T000193,2025-03-10 07:11:00,A0156,Uber,Travel,282.57,US,atm
T000327,2025-05-25 07:35:00,A0117,Target,Retail,270.74,US,online
T002225,2025-01-23 20:13:00,A0141,Target,Retail,67.83,GB,atm
T003361,2025-05-09 19:11:00,A0129,BestBuy,Electronics,30.59,US,atm
T003596,2025-05-20 21:52:00,A0146,Amazon,Retail,261.37,US,mobile
T001931,2025-05-11 20:12:00,A0142,Starbucks,Food,185.82,CA,in_store
T003052,2025-05-26 18:24:00,A0036,Shell,Fuel,131.83,US,atm
T000311,2025-01-28 21:21:00,A0146,Uber,Travel,184.47,US,mobile
T000300,2025-03-18 19:18:00,A0058,BestBuy,Electronics,86.87,US,mobile
T002941,2025-01-25 13:35:00,A0043,Costco,Retail,22.56,US,atm
T005078,2025-02-18 17:00:00,A0004,Target,Retail,298.26,US,online
T001270,2025-03-18 13:21:00,A0158,Starbucks,Food,46.41,US,mobile
T000589,2025-02-12 08:08:00,A0108,BestBuy,Electronics,291.93,US,online
T001396,2025-01-16 16:34:00,A0080,Shell,Fuel,339.61,US,atm
T000848,2025-01-21 16:38:00,A0114,Amazon,Retail,101.66,US,atm
T000795,2025-01-03 17:49:00,A0192,Marriott,Travel,156.08,US,online
T003221,2025-02-13 17:18:00,A0074,Apple,Electronics,114.39,US,atm
T003583,2025-05-23 15:29:00,A0103,BestBuy,Electronics,200.7,US,in_store
T003087,2025-01-18 18:44:00,A0113,Walmart,Retail,269.78,US,mobile
T002030,2025-02-24 14:39:00,A0116,Uber,Travel,220.62,US,atm
T002042,2025-02-04 18:19:00,A0083,Amazon,Retail,34.57,US,atm
T004239,2025-03-06 08:53:00,A0146,Walmart,Retail,251.92,US,in_store
T001021,2025-05-02 20:33:00,A0078,Netflix,Subscription,31.12,US,mobile
T003949,2025-05-17 19:52:00,A0078,Netflix,Subscription,8.0,US,online
T005020,2025-03-14 02:04:00,A0144,Costco,Retail,741.71,US,online
T001618,2025-01-05 08:30:00,A0087,Walmart,Retail,332.79,US,atm
T000052,2025-02-03 17:16:00,A0086,Starbucks,Food,297.79,US,mobile
T003389,2025-01-15 18:07:00,A0083,Apple,Electronics,358.39,US,mobile
T003976,2025-02-17 13:28:00,A0075,Shell,Fuel,349.24,US,online
T002891,2025-04-20 14:12:00,A0191,Delta Airlines,Travel,221.44,US,atm
T000085,2025-03-11 13:31:00,A0057,Amazon,Retail,158.6,US,mobile
T004614,2025-05-25 16:58:00,A0171,Costco,Retail,337.96,US,mobile
T004783,2025-05-22 12:43:00,A0034,Amazon,Retail,292.58,US,online
T003601,2025-02-27 08:42:00,A0082,Shell,Fuel,195.45,US,atm
T000910,2025-01-10 16:30:00,A0009,BestBuy,Electronics,150.59,US,mobile
T001417,2025-03-25 08:45:00,A0026,Costco,Retail,78.03,US,online
T001227,2025-05-26 13:28:00,A0078,Walmart,Retail,339.28,US,in_store
T001794,2025-05-04 20:51:00,A0199,Target,Retail,242.42,US,in_store
T004577,2025-03-18 12:25:00,A0166,Uber,Travel,33.13,US,in_store
T002449,2025-02-02 16:11:00,A0177,Marriott,Travel,234.18,US,in_store
T003124,2025-03-08 16:32:00,A0086,Amazon,Retail,260.29,US,atm
T000621,2025-05-19 07:22:00,A0193,Target,Retail,45.48,US,in_store
T004165,2025-05-18 16:43:00,A0061,Marriott,Travel,273.69,US,mobile
T002044,2025-03-04 13:50:00,A0196,Starbucks,Food,260.2,US,in_store
T003777,2025-04-20 15:18:00,A0092,Uber,Travel,167.75,US,atm
T002611,2025-01-19 15:41:00,A0188,Starbucks,Food,33.74,US,in_store
T000372,2025-01-26 13:14:00,A0014,Walmart,Retail,139.53,DE,mobile
T003869,2025-05-21 10:13:00,A0106,Netflix,Subscription,92.17,US,online
T002070,2025-05-24 11:48:00,A0130,Costco,Retail,217.61,US,online
T001009,2025-05-08 19:09:00,A0104,Target,Retail,371.49,US,online
T004562,2025-03-18 20:29:00,A0111,Apple,Electronics,31.68,US,atm
T003751,2025-05-22 11:51:00,A0015,Target,Retail,393.85,US,atm
T002747,2025-03-09 09:56:00,A0183,Apple,Electronics,340.01,US,in_store
T004724,2025-02-23 17:25:00,A0196,Netflix,Subscription,31.16,US,atm
T001484,2025-02-18 18:52:00,A0178,Apple,Electronics,200.54,US,online
T000586,2025-01-12 07:54:00,A0025,Starbucks,Food,267.03,US,atm
T004946,2025-01-11 08:18:00,A0058,Delta Airlines,Travel,344.42,US,online
T002053,2025-03-13 20:46:00,A0198,BestBuy,Electronics,113.97,US,atm
T004371,2025-05-06 11:34:00,A0129,BestBuy,Electronics,185.65,US,online
T000604,2025-04-04 18:28:00,A0184,Walmart,Retail,43.49,US,in_store
T000418,2025-05-20 20:23:00,A0069,Costco,Retail,329.93,US,mobile
T000267,2025-01-19 09:20:00,A0148,Marriott,Travel,34.3,US,atm
T002376,2025-04-13 13:36:00,A0191,Netflix,Subscription,123.14,US,in_store
T004635,2025-02-01 16:48:00,A0068,Shell,Fuel,269.47,US,online
T000309,2025-04-17 21:53:00,A0045,Starbucks,Food,373.9,US,mobile
T000114,2025-05-28 17:43:00,A0019,Amazon,Retail,64.93,US,atm
T002873,2025-02-11 21:35:00,A0129,Delta Airlines,Travel,134.6,CA,atm
T000717,2025-05-11 11:25:00,A0196,Shell,Fuel,301.32,US,online
T000244,2025-01-12 12:34:00,A0035,Netflix,Subscription,326.34,US,mobile
T004494,2025-04-24 21:28:00,A0160,Target,Retail,178.42,US,mobile
T002065,2025-03-31 19:52:00,A0193,Starbucks,Food,338.66,US,atm
T004183,2025-02-17 11:32:00,A0096,Shell,Fuel,49.51,US,mobile
T000270,2025-02-27 12:33:00,A0083,Uber,Travel,339.14,US,in_store
T003063,2025-03-05 09:06:00,A0026,Amazon,Retail,399.09,GB,mobile
T002528,2025-03-29 07:18:00,A0173,Marriott,Travel,257.44,US,in_store
T002380,2025-04-21 20:15:00,A0104,Uber,Travel,101.08,US,atm
T000442,2025-02-12 14:22:00,A0157,BestBuy,Electronics,89.16,MX,in_store
T001028,2025-05-04 16:27:00,A0149,Uber,Travel,253.06,US,online
T004244,2025-03-07 18:02:00,A0112,Costco,Retail,176.69,US,atm
T001017,2025-02-07 18:54:00,A0102,Apple,Electronics,151.0,US,online
T000699,2025-05-07 14:00:00,A0164,Shell,Fuel,340.97,US,atm
T000865,2025-02-04 14:09:00,A0010,Marriott,Travel,186.94,US,atm
T000403,2025-05-24 13:29:00,A0085,Shell,Fuel,320.11,US,in_store
T004979,2025-04-24 14:25:00,A0148,Amazon,Retail,53.12,US,atm
T001329,2025-02-21 21:15:00,A0197,Netflix,Subscription,363.96,US,online
T004477,2025-03-03 14:24:00,A0054,Costco,Retail,107.25,CA,mobile
T005033,2025-04-17 10:05:00,A0036,Walmart,Retail,710.26,US,online
T002653,2025-05-09 09:19:00,A0046,Delta Airlines,Travel,364.64,US,mobile
T003483,2025-02-02 17:37:00,A0124,Starbucks,Food,148.15,US,atm
T000921,2025-02-16 19:33:00,A0125,Amazon,Retail,140.42,US,in_store
T000748,2025-02-11 18:47:00,A0064,Marriott,Travel,158.94,US,in_store
T003442,2025-02-26 12:41:00,A0100,Amazon,Retail,122.89,DE,mobile
T001388,2025-04-25 08:30:00,A0044,Marriott,Travel,218.56,US,in_store
T004458,2025-01-10 12:45:00,A0103,Marriott,Travel,302.33,US,online
T002792,2025-03-05 13:45:00,A0081,Marriott,Travel,54.68,US,atm
T002939,2025-04-22 10:34:00,A0129,Netflix,Subscription,136.26,US,online
T003060,2025-05-28 21:17:00,A0058,Apple,Electronics,109.2,US,in_store
T003662,2025-04-24 16:16:00,A0079,Amazon,Retail,285.31,US,atm
T004027,2025-04-30 20:12:00,A0140,Amazon,Retail,216.39,US,mobile
T004407,2025-01-13 08:07:00,A0014,Netflix,Subscription,259.16,US,mobile
T004092,2025-02-23 20:07:00,A0155,Marriott,Travel,226.51,US,in_store
T003984,2025-03-01 18:20:00,A0046,BestBuy,Electronics,13.61,US,in_store
T004096,2025-01-24 19:41:00,A0127,Uber,Travel,125.5,US,atm
T000975,2025-04-27 09:24:00,A0157,Netflix,Subscription,58.88,CA,in_store
T002441,2025-01-28 11:10:00,A0139,Delta Airlines,Travel,376.16,US,online
T000925,2025-05-17 10:24:00,A0192,Marriott,Travel,283.72,US,atm
T004987,2025-04-26 08:17:00,A0128,Amazon,Retail,83.37,US,atm
T000401,2025-01-12 19:45:00,A0077,Walmart,Retail,13.92,US,online
T000040,2025-03-22 07:03:00,A0192,Delta Airlines,Travel,193.33,US,in_store
T003933,2025-04-13 16:39:00,A0186,Starbucks,Food,257.86,US,atm
T001571,2025-05-20 19:10:00,A0108,Delta Airlines,Travel,154.13,US,in_store
T002757,2025-01-24 20:53:00,A0171,Starbucks,Food,337.64,US,online
T004070,2025-04-19 16:14:00,A0036,Target,Retail,399.49,GB,atm
T003351,2025-05-20 14:32:00,A0105,Uber,Travel,317.09,US,mobile
T002749,2025-01-23 13:03:00,A0028,Starbucks,Food,266.0,US,online
T000492,2025-05-20 19:01:00,A0162,Apple,Electronics,313.86,US,mobile
T001820,2025-05-08 12:41:00,A0140,Shell,Fuel,132.13,US,mobile
T003005,2025-01-07 16:41:00,A0185,Starbucks,Food,232.37,US,mobile
T001633,2025-04-13 10:04:00,A0200,Uber,Travel,172.12,US,atm
T004438,2025-05-14 13:27:00,A0130,Delta Airlines,Travel,45.96,US,in_store
T003920,2025-02-02 15:02:00,A0188,Starbucks,Food,38.58,US,in_store
T002836,2025-04-26 09:33:00,A0152,Shell,Fuel,99.12,US,in_store
T003522,2025-04-10 19:14:00,A0174,Apple,Electronics,223.61,US,atm
T002538,2025-04-07 12:30:00,A0063,Marriott,Travel,282.62,US,atm
T001857,2025-04-24 07:17:00,A0045,Delta Airlines,Travel,83.48,US,mobile
T004615,2025-04-28 10:33:00,A0103,Costco,Retail,193.93,US,mobile
T001415,2025-05-31 16:36:00,A0006,Target,Retail,113.12,MX,online
T004687,2025-02-19 15:54:00,A0168,Uber,Travel,268.07,US,online
T000500,2025-01-24 07:14:00,A0010,Delta Airlines,Travel,91.43,US,mobile
T003038,2025-01-21 19:38:00,A0060,Starbucks,Food,57.08,US,mobile
T004921,2025-02-25 10:29:00,A0094,Uber,Travel,335.89,US,atm
T001321,2025-04-13 20:12:00,A0088,Apple,Electronics,19.92,US,online
T005035,2025-04-17 10:07:00,A0036,Marriott,Travel,871.85,US,online
T000346,2025-03-10 13:43:00,A0014,Delta Airlines,Travel,243.15,US,in_store
T004384,2025-04-23 18:15:00,A0057,Netflix,Subscription,318.85,US,mobile
T002448,2025-05-08 07:07:00,A0066,Apple,Electronics,238.34,MX,atm
T004881,2025-05-06 08:34:00,A0167,Apple,Electronics,256.12,US,atm
T004029,2025-05-02 14:29:00,A0124,BestBuy,Electronics,380.3,US,online
T000141,2025-03-24 20:12:00,A0117,BestBuy,Electronics,99.33,US,in_store
T005082,2025-05-14 19:00:00,A0125,Marriott,Travel,65.19,US,online
T004196,2025-02-11 21:55:00,A0081,Starbucks,Food,47.05,US,online
T002981,2025-04-21 10:57:00,A0017,Uber,Travel,54.96,US,atm
T004201,2025-04-17 08:26:00,A0191,Delta Airlines,Travel,125.51,US,in_store
T000447,2025-04-11 11:41:00,A0192,Amazon,Retail,314.6,US,mobile
T000098,2025-02-09 13:11:00,A0182,BestBuy,Electronics,211.09,US,atm
T004006,2025-03-31 13:24:00,A0017,Costco,Retail,139.27,US,in_store
T000561,2025-03-26 12:16:00,A0108,Delta Airlines,Travel,121.15,US,mobile
T003732,2025-04-21 07:10:00,A0036,BestBuy,Electronics,248.71,US,in_store
T001373,2025-01-16 18:11:00,A0052,Shell,Fuel,107.44,US,mobile
T001641,2025-03-10 10:04:00,A0148,Costco,Retail,44.91,US,mobile
T000124,2025-04-14 11:32:00,A0180,Costco,Retail,200.05,US,online
T002098,2025-03-25 13:19:00,A0002,Amazon,Retail,321.02,US,atm
T004638,2025-02-06 21:19:00,A0169,BestBuy,Electronics,197.05,US,in_store
T000090,2025-05-19 07:22:00,A0005,Shell,Fuel,261.81,MX,online
T000410,2025-02-04 12:07:00,A0173,Shell,Fuel,125.63,US,atm
T002746,2025-05-26 21:07:00,A0150,Delta Airlines,Travel,181.2,US,online
T000613,2025-04-12 12:18:00,A0071,Target,Retail,322.89,US,mobile
T001623,2025-01-14 11:56:00,A0177,Amazon,Retail,48.77,US,online
T000242,2025-05-01 07:40:00,A0100,Apple,Electronics,392.51,US,online
